nct_id,section,signal_type,label,detail,source_sentence
NCT00005095,inclusion,biomarker,BRCA1 mentioned,BRCA1:unspecified,"Has at least two first or second degree relatives diagnosed before age 50 with either ovarian, primary peritoneal, fallopian tube, and/or pancreatic cancer who have tested positive for hereditary cancer syndrome that includes an increased risk of gynecologic cancer (e.g., BRCA1/2 or Lynch Syndrome)or have increased risk as deemed by a certified genetic counselor"
NCT00034216,inclusion,ecog,ECOG 0,0-0,"Performance status of ECOG 0, 1, 2, or 3 for admission to this protocol."
NCT00682032,inclusion,prior_therapy,Treatment-naive,naive0,treatment naive or no treatment within 6 months prior to enrollment
NCT00682032,inclusion,ecog,ECOG 0–3,0-3,Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 3
NCT00682032,exclusion,prior_therapy,Treatment-naive,naive0,treatment naive
NCT00682032,exclusion,ecog,ECOG 0–2,0-2,Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 2
NCT00756665,inclusion,ecog,ECOG 0,0-0,ECOG Performance Status 0 or 1.
NCT00823654,inclusion,biomarker,HER2 positive,HER2:positive,"Participant has a known breast cancer diagnosis of AJCC Stage 0-III breast cancer, regardless of hormone-receptor status or HER2-overexpression, before the start of planned adjuvant or neoadjuvant chemotherapy and/or hormonal therapy."
NCT00823654,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,The participant has regular menstrual cycles; note: patients can have no more than 1 irregular cycle (too early or too late) within the past year and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For Unaffected High Risk Premenopausal Women with BRCA mutations
NCT00823654,inclusion,biomarker,BRCA positive,BRCA:positive,The patient has a known BRCA mutation.
NCT00823654,inclusion,biomarker,BRCA1 positive,BRCA1:positive,"Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal. 7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol."
NCT00823654,inclusion,biomarker,BRCA2 positive,BRCA2:positive,"Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal. 7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol."
NCT00823654,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal. 7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol."
NCT00823654,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal. 7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol."
NCT00823654,inclusion,biomarker,BRCA mentioned,BRCA:unspecified,"Have regular menstrual (21-35 days); patients can have no more than 1 irregular cycle (too early or too late) within the past year or were pregnant in the past 12 months, and/or at least 10 spontaneous cycles within the past year. Exceptions are made for patients who have been pregnant in the last 12 months and patients with IUDs or a LARC. Subject Inclusion: For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1 . Premenopausal women age 21-45 with stage 0-3 breast cancer. 2. No prior ovarian surgery or ovarian disease. 3. No prior chemotherapy. 4. Regular menstrual periods (21-35 days), no PCOS. 5. No hormonal contraception within the prior 4 weeks. 6. Mutation testing decision based on NCCN Guidelines V1.2021: according to these Guidelines, both centers test all pre-menopausal women with breast cancer for BRCA and non-BRCA mutations which are the subject of this proposal. 7\. Receiving an anthracycline (typically doxorubicin/Adriamycin) and Cy (AC)-based chemotherapy protocol."
NCT00823654,exclusion,biomarker,BRCA positive,BRCA:positive,Current pregnancy. Subject Exclusion Criteria: For Unaffected High Risk Premenopausal Women with BRCA mutation
NCT00823654,exclusion,biomarker,BRCA1 positive,BRCA1:positive,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
NCT00823654,exclusion,biomarker,BRCA1 mentioned,BRCA1:unspecified,"Participant is currently pregnant. For affected BRCA1 and BRCA2 mutation carriers, affected women with non-BRCA mutations, and BC patients with no mutations (control) 1\. Subjects who did not undergo mutation testing, as well as those who tested positive for more than one family (BRCA1, BRCA2, non-BRCA) of ATM-Pathway gene mutations, will be excluded. 2\. Women aged \>42 years will be excluded as they carry a very high probability of chemotherapy-induced OI49. It is important to select an age range where immediate OI is less likely to occur because if most women become menopausal post-chemotherapy, the comparison of ovarian reserve decline will not be feasible. 3. In our prior grant period, we showed that the AC-based and CMF regimens similarly compromise ovarian reserve (Fig. 1)9 Currently, the AC-based chemotherapy is utilized in \>90% breast ca cases, and CMF protocol is rarely administered9. For this reason and to enhance uniformity, rare non-AC-based protocols will be excluded. 4. A previous study showed that smoking and BRCA mutations may have additive negative effects on the age of menopause27, consequently, we will exclude current smokers (smoked 100 cigarettes lifetime and currently smokes, per CDC). Based on our past studies6,9, the smoking incidence is low in our study population (\<20%) and should not significantly limit accrual. 5\. BMI: In our recent publication9 (Fig. 1), the mean BMI was 24.22 ±0.4 (median 23.2; range 17-42); hence the extreme BMI values are rare in our population. Nevertheless, those with BMI of \<18.5 and \>40 will be excluded."
